exchange,instrumenttype,name,segment,symbol,symboltoken
NFO,OPTSTK,INDIANB,NFO,INDIANB25NOV25600CE,91939
NFO,OPTSTK,INDIANB,NFO,INDIANB25NOV25640PE,91944
NFO,OPTSTK,INDIANB,NFO,INDIANB25NOV25680PE,91948
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR28OCT252640CE,91956
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR28OCT252680CE,91958
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR28OCT252800CE,91964
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR28OCT253000CE,91976
NFO,OPTSTK,HEROMOTOCO,NFO,HEROMOTOCO30SEP254000PE,91982
NFO,OPTSTK,HEROMOTOCO,NFO,HEROMOTOCO30SEP254300PE,91988
NFO,OPTSTK,INDIANB,NFO,INDIANB25NOV25720PE,91994
NFO,OPTSTK,HEROMOTOCO,NFO,HEROMOTOCO30SEP255300CE,92021
NFO,OPTSTK,HEROMOTOCO,NFO,HEROMOTOCO30SEP256000PE,92032
NFO,OPTSTK,INDIGO,NFO,INDIGO28OCT255900PE,92056
NFO,OPTSTK,HINDZINC,NFO,HINDZINC30SEP25370CE,92241
NFO,OPTSTK,HINDZINC,NFO,HINDZINC30SEP25450PE,92250
NFO,OPTSTK,HINDZINC,NFO,HINDZINC30SEP25470CE,92251
NFO,OPTSTK,HINDZINC,NFO,HINDZINC28OCT25340CE,92277
NFO,OPTSTK,HINDZINC,NFO,HINDZINC28OCT25520PE,92296
NFO,OPTSTK,HFCL,NFO,HFCL30SEP2580PE,92301
NFO,OPTSTK,INDUSINDBK,NFO,INDUSINDBK28OCT25690PE,92362
NFO,OPTSTK,INDUSINDBK,NFO,INDUSINDBK28OCT25710PE,92364
NFO,OPTSTK,INDUSINDBK,NFO,INDUSINDBK28OCT25750PE,92369
NFO,OPTSTK,INDUSINDBK,NFO,INDUSINDBK25NOV25640CE,92461
NFO,OPTSTK,INDUSINDBK,NFO,INDUSINDBK25NOV25680PE,92466
NFO,OPTSTK,INDUSINDBK,NFO,INDUSINDBK25NOV25740PE,92472
NFO,OPTSTK,INDUSINDBK,NFO,INDUSINDBK25NOV25780CE,92475
NFO,OPTSTK,INDUSINDBK,NFO,INDUSINDBK25NOV25820PE,92480
NFO,OPTSTK,INDUSINDBK,NFO,INDUSINDBK25NOV25840PE,92482
NFO,OPTSTK,HUDCO,NFO,HUDCO28OCT25220PE,92582
NFO,OPTSTK,HUDCO,NFO,HUDCO28OCT25230CE,92583
NFO,OPTSTK,HUDCO,NFO,HUDCO28OCT25240PE,92586
NFO,OPTSTK,HUDCO,NFO,HUDCO28OCT25250PE,92588
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK30SEP251310CE,92665
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK30SEP251350CE,92669
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK30SEP251350PE,92670
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK30SEP251410PE,92678
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK30SEP251470CE,92683
NFO,OPTSTK,INDUSTOWER,NFO,INDUSTOWER28OCT25335PE,92707
NFO,OPTSTK,INDUSTOWER,NFO,INDUSTOWER28OCT25365CE,92712
NFO,OPTSTK,INDUSTOWER,NFO,INDUSTOWER25NOV25290PE,92759
NFO,OPTSTK,HINDALCO,NFO,HINDALCO30SEP25660PE,92781
NFO,OPTSTK,INDUSTOWER,NFO,INDUSTOWER25NOV25370PE,92789
NFO,OPTSTK,INFY,NFO,INFY28OCT251340CE,92949
NFO,OPTSTK,INFY,NFO,INFY28OCT251420CE,92957
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK28OCT251340CE,93062
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK28OCT251460PE,93075
NFO,OPTSTK,INFY,NFO,INFY25NOV251200CE,93124
NFO,OPTSTK,INFY,NFO,INFY25NOV251760CE,93210
NFO,OPTSTK,HINDPETRO,NFO,HINDPETRO30SEP25359.5PE,93239
NFO,OPTSTK,HINDPETRO,NFO,HINDPETRO30SEP25409.5PE,93256
NFO,OPTSTK,ICICIGI,NFO,ICICIGI30SEP251780CE,93261
NFO,OPTSTK,ICICIGI,NFO,ICICIGI30SEP251900CE,93270
NFO,OPTSTK,INOXWIND,NFO,INOXWIND25NOV25160PE,93400
NFO,OPTSTK,IOC,NFO,IOC28OCT25137.5CE,93438
NFO,OPTSTK,IOC,NFO,IOC28OCT25137.5PE,93439
NFO,OPTSTK,IOC,NFO,IOC28OCT25152.5PE,93445
NFO,OPTSTK,IOC,NFO,IOC28OCT25142.5PE,93441
NFO,OPTSTK,IOC,NFO,IOC25NOV25120PE,93475
NFO,OPTSTK,IRCTC,NFO,IRCTC28OCT25630CE,93551
NFO,OPTSTK,IRCTC,NFO,IRCTC28OCT25650CE,93553
NFO,OPTSTK,IRCTC,NFO,IRCTC28OCT25730PE,93571
NFO,OPTSTK,IRCTC,NFO,IRCTC28OCT25750PE,93575
NFO,OPTSTK,ICICIGI,NFO,ICICIGI28OCT251560CE,93623
NFO,OPTSTK,ICICIGI,NFO,ICICIGI28OCT251640PE,93628
NFO,OPTSTK,ICICIGI,NFO,ICICIGI28OCT251880PE,93683
NFO,OPTSTK,ICICIGI,NFO,ICICIGI28OCT251920CE,93684
NFO,OPTSTK,ICICIGI,NFO,ICICIGI28OCT252080CE,93692
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR30SEP252200CE,93812
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR30SEP252440PE,93841
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR30SEP252520CE,93858
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR30SEP252640PE,93869
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR30SEP252720PE,93873
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR30SEP252760PE,93875
NFO,OPTSTK,IRCTC,NFO,IRCTC25NOV25600CE,93880
NFO,OPTSTK,IRCTC,NFO,IRCTC25NOV25620PE,93883
NFO,OPTSTK,IRCTC,NFO,IRCTC25NOV25780PE,93899
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI30SEP25630CE,93959
NFO,OPTSTK,JINDALSTEL,NFO,JINDALSTEL28OCT25860CE,100072
NFO,OPTSTK,JINDALSTEL,NFO,JINDALSTEL28OCT25960PE,100086
NFO,OPTSTK,JIOFIN,NFO,JIOFIN30SEP25345CE,100163
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI30SEP25650CE,93974
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI28OCT25560PE,94070
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI28OCT25620CE,94083
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI28OCT25640PE,94089
NFO,OPTSTK,LTF,NFO,LTF25NOV25230CE,100186
NFO,OPTSTK,JIOFIN,NFO,JIOFIN28OCT25320PE,100247
NFO,OPTSTK,JIOFIN,NFO,JIOFIN28OCT25350CE,100252
NFO,OPTSTK,LTIM,NFO,LTIM28OCT254700CE,100264
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI28OCT25660CE,94090
NFO,OPTSTK,IREDA,NFO,IREDA25NOV25130PE,94126
NFO,OPTSTK,IRFC,NFO,IRFC28OCT25112.5PE,94184
NFO,OPTSTK,IDEA,NFO,IDEA28OCT252PE,94292
NFO,OPTSTK,JSWENERGY,NFO,JSWENERGY30SEP25490PE,100299
NFO,OPTSTK,LTIM,NFO,LTIM25NOV255000PE,100338
NFO,OPTSTK,LTIM,NFO,LTIM25NOV255400PE,100342
NFO,OPTSTK,LTIM,NFO,LTIM28OCT254900CE,100268
NFO,OPTSTK,IRFC,NFO,IRFC25NOV25120CE,94323
NFO,OPTSTK,IRFC,NFO,IRFC25NOV25120PE,94324
NFO,OPTSTK,IRFC,NFO,IRFC25NOV25125PE,94326
NFO,OPTSTK,IDFCFIRSTB,NFO,IDFCFIRSTB30SEP2565PE,94378
